No.,Ticker,Company,Index,Sector,Industry,Country,Market Cap,P/E,Book/sh,Cash/sh,Dividend Yield,EPS Surprise,Revenue Surprise,Short Ratio,Total Debt/Equity,Profit Margin,Performance (Quarter),Performance (YTD),Beta,Earnings Date,Average Volume,Target Price,Price,Change
1,CHT,Chunghwa Telecom ADR,-,Communication Services,Telecom Services,Taiwan,30906.81,26.7,15.14,2.28,3.75%,9.55%,0.98%,7.29,0.11,16.19%,8.32%,5.82%,0.21,1/23/2025 16:30,118.58,37.73,39.84,2.68%
2,RDY,Dr. Reddy's Laboratories Ltd. ADR,-,Healthcare,Drug Manufacturers - Specialty & Generic,India,10817.93,16.89,4.45,0.84,0.73%,-5.98%,2.01%,7.14,0.16,17.25%,-15.79%,-17.76%,0.34,1/23/2025 16:30,2087.53,15.55,12.98,2.16%
3,NVR,NVR Inc,S&P 500,Consumer Cyclical,Residential Construction,USA,20722.75,13.75,1449.28,897.5,,8.18%,1.22%,3.05,0.24,16.32%,-11.03%,-14.66%,1,1/28/2025 8:30,27.7,8923.33,6979.69,-0.27%
4,FFIV,F5 Inc,S&P 500,Technology,Software - Infrastructure,USA,14889.57,25.7,55.66,19.96,,14.31%,7.14%,2.09,0.08,20.58%,1.55%,2.70%,0.99,1/28/2025 16:30,623.64,293.11,258.27,1.28%
5,HLI,Houlihan Lokey Inc,-,Financial,Capital Markets,USA,10348.63,28.18,29.66,11.41,1.55%,8.11%,5.02%,2.1,0.21,15.98%,-12.29%,-15.06%,0.84,1/28/2025 16:30,449.12,170,147.51,-1.76%
6,EXP,Eagle Materials Inc,-,Basic Materials,Building Materials,USA,7211.43,15.48,44.81,0.94,0.46%,-8.11%,-2.75%,3.03,0.7,20.91%,-7.81%,-12.21%,1.34,1/29/2025 8:30,407.01,269.55,216.64,0.05%
7,HES,Hess Corporation,S&P 500,Energy,Oil & Gas E&P,USA,38756.51,13.95,36.38,3.79,1.61%,17.94%,9.77%,3.54,0.84,21.47%,-12.01%,-5.80%,0.69,1/29/2025 8:30,2130.96,165.63,125.3,-1.46%
8,CP,Canadian Pacific Kansas City Limited,-,Industrials,Railroads,Canada,67717.32,25.03,35.67,0.55,0.82%,4.21%,0.02%,2.63,0.48,25.51%,-2.90%,0.21%,1.05,1/29/2025 16:30,3604.65,87.2,72.53,1.85%
9,DLB,Dolby Laboratories Inc,-,Industrials,Specialty Business Services,USA,6933.07,26.53,26.03,6.35,1.75%,2.00%,3.14%,1.95,0.02,19.97%,-5.80%,-7.89%,0.96,1/29/2025 16:30,516.53,100,71.94,-0.86%
10,MSFT,Microsoft Corporation,"DJIA, NDX, S&P 500",Technology,Software - Infrastructure,USA,2866915.09,31.06,40.71,9.63,0.85%,3.54%,1.11%,1.98,0.34,35.43%,-7.95%,-8.51%,0.95,1/29/2025 16:30,25306.81,497,385.65,1.13%
11,TER,"Teradyne, Inc",S&P 500,Technology,Semiconductor Equipment & Materials,USA,11589.59,21.72,17.43,3.73,0.72%,4.50%,1.63%,1.38,0.03,19.26%,-46.29%,-42.77%,1.69,1/29/2025 16:30,3439.7,112.57,72.06,-0.32%
12,CSWI,CSW Industrials Inc,RUT,Industrials,Specialty Industrial Machinery,USA,4851.82,34.54,62.2,12.74,0.32%,3.18%,0.82%,3.57,0.07,15.53%,-20.16%,-18.06%,0.97,1/30/2025 8:30,136.66,364.5,289.09,2.51%
13,DT,Dynatrace Inc,-,Technology,Software - Application,USA,12773.26,26.79,8.53,3.37,,12.05%,2.30%,2.16,0.03,29.51%,-15.82%,-21.49%,0.96,1/30/2025 8:30,3271.6,64.79,42.67,-1.64%
14,PH,Parker-Hannifin Corp,S&P 500,Industrials,Specialty Industrial Machinery,USA,71253.96,22.89,101.88,3.07,1.19%,4.41%,-1.47%,1.4,0.69,15.87%,-12.17%,-13.00%,1.36,1/30/2025 8:30,901.56,742.06,553.36,-1.22%
15,DECK,Deckers Outdoor Corp,S&P 500,Consumer Cyclical,Footwear & Accessories,USA,16157.82,17.28,17.33,14.76,,16.17%,5.36%,1.83,0.1,19.14%,-48.69%,-47.58%,1.09,1/30/2025 16:30,3510.17,200.29,106.46,-2.89%
16,V,Visa Inc,"DJIA, S&P 500",Financial,Credit Services,USA,645233.01,33.74,19.13,9.43,0.73%,3.33%,1.73%,4.41,0.54,53.54%,7.34%,4.51%,0.96,1/30/2025 16:30,7132.12,381.17,330.28,1.75%
17,ETN,Eaton Corporation plc,S&P 500,Industrials,Specialty Industrial Machinery,Ireland,106351.68,28.57,47.06,5.31,1.49%,0.76%,-1.34%,1.64,0.54,15.25%,-20.50%,-18.20%,1.11,1/31/2025 8:30,4010.65,347.74,271.46,0.28%
18,NVS,Novartis AG ADR,-,Healthcare,Drug Manufacturers - General,Switzerland,201693.78,18.1,22.3,7.09,3.66%,9.73%,2.45%,1.33,0.71,23.73%,7.28%,9.23%,0.62,1/31/2025 8:30,2422.6,118.39,106.29,2.79%
19,EQR,Equity Residential Properties Trust,S&P 500,Real Estate,REIT - Residential,USA,24773.88,23.77,29.06,0.16,4.38%,165.89%,1.33%,2.91,0.76,34.86%,-5.46%,-11.76%,0.93,2/3/2025 16:30,1799.45,77.35,63.32,-1.48%
20,RMBS,Rambus Inc,RUT,Technology,Semiconductors,USA,4938.75,27.79,10.49,4.48,,-18.32%,3.87%,4.38,0.03,32.31%,-18.26%,-13.04%,1.26,2/3/2025 16:30,1059.19,76.43,45.97,-0.59%
21,AME,Ametek Inc,S&P 500,Industrials,Specialty Industrial Machinery,USA,36050.05,26.36,41.85,1.62,0.78%,1.12%,-3.20%,1.53,0.24,19.83%,-11.31%,-13.33%,1.13,2/4/2025 8:30,1489.05,198.64,156.23,-0.75%
22,MLI,"Mueller Industries, Inc",RUT,Industrials,Metal Fabrication,USA,8064.77,13.72,24.38,9.58,1.17%,8.04%,3.42%,4.39,0.01,16.05%,-6.90%,-8.25%,1.03,2/4/2025 8:30,890.77,105,72.82,0.28%
23,APAM,Artisan Partners Asset Management Inc,RUT,Financial,Asset Management,USA,2774.93,9.69,5.55,3.34,9.37%,10.82%,1.47%,3.8,0.77,19.95%,-14.18%,-18.81%,1.64,2/4/2025 16:30,576.35,38.94,34.56,-1.29%
24,ATO,Atmos Energy Corp,S&P 500,Utilities,Utilities - Regulated Gas,USA,23677.15,21.33,80.52,3.71,2.34%,1.29%,-12.87%,4.97,0.67,25.89%,8.85%,7.11%,0.73,2/4/2025 16:30,978.28,155.7,149.17,-0.08%
25,CRUS,"Cirrus Logic, Inc",-,Technology,Semiconductors,USA,4554.52,15.58,36.94,10.61,,23.09%,8.90%,1.7,0.07,16.55%,-15.27%,-13.94%,0.97,2/4/2025 16:30,745.38,130.83,85.7,1.00%
26,GOOG,Alphabet Inc,"NDX, S&P 500",Communication Services,Internet Content & Information,USA,1909872.12,19.65,26.62,7.92,0.34%,1.45%,-0.24%,1.75,0.09,28.62%,-18.15%,-16.98%,0.99,2/4/2025 16:30,22039.03,209.81,158.1,1.76%
27,GOOGL,Alphabet Inc,"NDX, S&P 500",Communication Services,Internet Content & Information,USA,1913799.62,19.37,26.62,7.79,0.32%,1.41%,-0.23%,1.96,0.09,28.62%,-18.86%,-17.68%,0.99,2/4/2025 16:30,34318.75,209.56,155.82,1.97%
28,JKHY,"Jack Henry & Associates, Inc",S&P 500,Technology,Information Technology Services,USA,12433.43,30.76,27.1,0.35,1.30%,1.42%,-0.43%,3.34,0.1,17.82%,-0.84%,-2.70%,0.75,2/4/2025 16:30,683.72,188,170.56,0.25%
29,IEX,Idex Corporation,S&P 500,Industrials,Specialty Industrial Machinery,USA,12566.38,25,50,8.46,1.67%,0.90%,0.10%,1.71,0.52,15.45%,-19.26%,-20.52%,1.06,2/5/2025 8:30,629.02,224.75,166.35,-0.37%
30,NVO,Novo Nordisk ADR,-,Healthcare,Drug Manufacturers - General,Denmark,214735.62,19.44,4.49,1.09,3.06%,6.56%,7.50%,1.68,0.72,34.81%,-26.00%,-25.80%,0.69,2/5/2025 8:30,8717.44,113.29,63.83,4.28%
31,TROW,T. Rowe Price Group Inc,S&P 500,Financial,Asset Management,USA,19375.09,9.52,46.4,11.92,5.82%,-3.25%,-2.26%,4.97,0.03,28.82%,-19.69%,-22.91%,1.49,2/5/2025 8:30,2025.07,92.15,87.18,1.44%
32,UBER,Uber Technologies Inc,S&P 500,Technology,Software - Application,USA,146639.02,15.3,10.23,3.6,,546.01%,1.72%,2.37,0.53,22.41%,6.29%,16.25%,1.42,2/5/2025 8:30,23588.19,89.77,70.12,-1.16%
33,RYN,Rayonier Inc,-,Real Estate,REIT - Specialty,USA,3736.77,10.15,11.91,2.2,5.25%,37.13%,11.55%,3.54,0.67,28.43%,-4.03%,-8.26%,1.11,2/5/2025 16:30,1182.07,31.33,23.94,-1.22%
34,AMG,Affiliated Managers Group Inc,-,Financial,Asset Management,USA,4511.21,10.5,113.02,33.57,0.03%,8.60%,-1.20%,3.2,0.79,25.04%,-12.82%,-16.62%,1.07,2/6/2025 8:30,239.04,179.57,154.19,0.43%
35,COP,Conoco Phillips,S&P 500,Energy,Oil & Gas E&P,USA,105342.91,10.68,50.79,4.84,3.79%,7.80%,2.01%,2.1,0.39,16.88%,-18.24%,-15.97%,0.71,2/6/2025 8:30,9200.93,127.15,83.33,0.05%
36,LIN,Linde Plc,"NDX, S&P 500",Basic Materials,Specialty Chemicals,United Kingdom,206851.54,32.12,80.49,10.26,1.37%,0.86%,-1.61%,2.29,0.59,19.89%,5.61%,4.47%,1.01,2/6/2025 8:30,2470.7,499.5,437.4,1.28%
37,MKTX,MarketAxess Holdings Inc,S&P 500,Financial,Capital Markets,USA,8232.58,30.01,36.89,15.94,1.41%,3.13%,-0.12%,1.68,0.05,33.49%,1.37%,-3.38%,0.87,2/6/2025 8:30,723.31,228.83,218.41,3.85%
38,PBH,Prestige Consumer Healthcare Inc,RUT,Healthcare,Drug Manufacturers - Specialty & Generic,USA,3975.17,18.8,36.07,1.03,,3.82%,0.89%,4.36,0.57,19.13%,8.44%,2.76%,0.46,2/6/2025 8:30,361.16,89,80.25,-0.58%
39,WMS,Advanced Drainage Systems Inc,-,Industrials,Building Products & Equipment,USA,7971.96,17.19,20.24,6.3,0.62%,-9.02%,2.24%,3.39,0.91,15.90%,-8.92%,-11.10%,1.3,2/6/2025 8:30,679.76,146.67,102.76,-0.61%
40,EXPO,Exponent Inc,RUT,Industrials,Engineering & Construction,USA,4020.8,37.41,8.29,5.09,1.52%,14.12%,3.49%,4.85,0.19,19.52%,-11.24%,-11.20%,0.94,2/6/2025 16:30,309.21,108,79.12,0.15%
41,ONTO,Onto Innovation Inc,-,Technology,Semiconductor Equipment & Materials,USA,5685.3,28.67,39.11,17.45,,7.34%,1.30%,1.34,0.01,20.43%,-38.60%,-30.15%,1.52,2/6/2025 16:30,1121.71,220.62,116.42,-1.37%
42,PINS,Pinterest Inc,-,Communication Services,Internet Content & Information,USA,17260.24,9.43,7.03,3.71,,-12.95%,1.24%,2.05,0.04,51.07%,-16.83%,-12.07%,0.86,2/6/2025 16:30,13029.03,42.87,25.5,-2.78%
43,REG,Regency Centers Corporation,S&P 500,Real Estate,REIT - Retail,USA,12459.5,32.31,35.93,0.34,4.16%,-5.10%,1.22%,4.64,0.75,26.55%,-0.88%,-7.72%,1.03,2/6/2025 16:30,1151,79.59,68.23,-0.28%
44,VCTR,Victory Capital Holdings Inc,RUT,Financial,Asset Management,USA,3431.29,12.29,17.62,1.99,3.49%,6.13%,1.14%,5.22,0.88,31.70%,-12.17%,-17.67%,1.07,2/6/2025 16:30,314.29,71.75,53.89,-0.31%
45,CARR,Carrier Global Corp,S&P 500,Industrials,Building Products & Equipment,USA,50430.95,13.95,16.03,4.6,1.56%,7.42%,-2.97%,2.35,0.91,16.39%,-12.24%,-14.49%,1.33,2/11/2025 8:30,5888.77,77.68,58.37,-1.15%
46,WPC,W. P. Carey Inc,-,Real Estate,REIT - Diversified,USA,12506.8,27.3,38.52,2.92,6.27%,-42.64%,3.02%,3.55,0.98,29.11%,6.00%,4.84%,0.84,2/11/2025 16:30,1308.72,63.6,57.12,0.63%
47,BAM,Brookfield Asset Management Ltd,-,Financial,Asset Management,USA,75275.78,35.42,7.73,0.01,3.79%,3.17%,-16.69%,5.37,0.07,112.24%,-11.71%,-15.16%,1.53,2/12/2025 8:30,2024.99,56.76,45.97,-0.23%
48,GOLD,Barrick Gold Corp,-,Basic Materials,Gold,Canada,35138.8,16.69,14.06,2.37,2.03%,10.52%,-7.64%,0.65,0.19,16.59%,29.97%,31.81%,0.24,2/12/2025 8:30,24735.31,23.34,20.43,6.19%
49,MLM,"Martin Marietta Materials, Inc",S&P 500,Basic Materials,Building Materials,USA,29168.81,14.79,154.65,10.99,0.67%,4.48%,-0.90%,3.19,0.64,30.54%,-5.96%,-7.38%,0.88,2/12/2025 8:30,581.9,609.98,478.38,0.65%
50,WAT,Waters Corp,S&P 500,Healthcare,Diagnostics & Research,USA,18778.07,29.46,30.79,5.47,,1.70%,1.83%,2.69,0.93,21.56%,-17.02%,-14.92%,1.18,2/12/2025 8:30,539.9,406.5,315.62,0.31%
51,CSCO,"Cisco Systems, Inc","DJIA, NDX, S&P 500",Technology,Communication Equipment,USA,226722.89,24.97,11.45,4.62,2.84%,3.34%,0.87%,2.6,0.71,16.96%,-2.98%,-3.73%,0.89,2/12/2025 16:30,23594.72,70.44,56.99,0.71%
52,CTRE,CareTrust REIT Inc,RUT,Real Estate,REIT - Healthcare Facilities,USA,5138.18,34.98,15.55,1.14,4.57%,-5.84%,2.81%,3.34,0.14,42.06%,4.98%,1.22%,0.9,2/12/2025 16:30,1868.86,31.62,27.38,-1.05%
53,GMAB,Genmab ADR,-,Healthcare,Biotechnology,Denmark,11801.23,10.6,8.02,4.61,,132.45%,0.12%,1.31,0.03,36.30%,-16.16%,-11.02%,1.05,2/12/2025 16:30,1641.85,30.8,18.57,3.11%
54,KGC,Kinross Gold Corp,-,Basic Materials,Gold,Canada,17705.91,18.71,5.58,0.51,0.83%,-17.18%,-2.58%,0.44,0.21,18.43%,37.83%,55.23%,0.6,2/12/2025 16:30,21887.7,14.14,14.39,5.11%
55,MSA,MSA Safety Inc,-,Industrials,Security & Protection Services,USA,5572.72,19.7,29.03,4.21,1.44%,0.34%,-3.55%,2.77,0.49,15.76%,-9.19%,-14.37%,0.95,2/12/2025 16:30,180.36,185.75,141.94,0.05%
56,PAYC,Paycom Software Inc,S&P 500,Technology,Software - Application,USA,12190.93,23.68,28.19,6.95,0.36%,17.72%,2.63%,3.17,0.05,26.66%,4.32%,2.81%,0.81,2/12/2025 16:30,691.15,223.93,210.73,0.24%
57,RGLD,"Royal Gold, Inc",-,Basic Materials,Gold,USA,11767.16,35.43,47.48,2.97,1.02%,10.02%,7.87%,3.32,0,46.15%,32.77%,35.62%,0.47,2/12/2025 16:30,520.32,179,178.82,4.59%
58,GPN,"Global Payments, Inc",S&P 500,Technology,Software - Infrastructure,USA,20105.77,13.24,89.59,11.13,1.30%,-0.35%,-0.83%,3.24,0.77,15.54%,-22.65%,-27.03%,0.98,2/13/2025 8:30,2411.16,126.71,81.77,-1.76%
59,ABNB,Airbnb Inc,"NDX, S&P 500",Consumer Cyclical,Travel Services,USA,70867.29,27.19,13.5,16.87,,26.14%,2.42%,2.79,0.27,23.85%,-13.30%,-14.47%,1.13,2/13/2025 16:30,5753.39,152.67,112.39,-1.33%
60,AMAT,Applied Materials Inc,"NDX, S&P 500",Technology,Semiconductor Equipment & Materials,USA,114931.94,18.51,22.92,10.11,1.17%,4.40%,0.25%,2.23,0.35,22.97%,-17.59%,-13.01%,1.68,2/13/2025 16:30,7835.15,207.3,141.46,2.33%
61,COIN,Coinbase Global Inc,-,Financial,Financial Data & Stock Exchanges,USA,43276.3,17.96,40.52,38.7,,106.54%,23.37%,0.98,0.45,35.66%,-34.13%,-31.35%,3.52,2/13/2025 16:30,9570.25,287.52,170.46,0.50%
62,BHP,BHP Group Limited ADR,-,Basic Materials,Other Industrial Metals & Mining,Australia,114054.78,10.05,17.95,3.89,4.78%,-12.95%,0.51%,3.42,0.44,21.23%,-7.40%,-7.95%,1,2/17/2025 16:30,3041.81,50.5,44.95,3.36%
63,BIDU,Baidu Inc ADR,-,Communication Services,Internet Content & Information,China,22521.89,8.78,129.03,68.1,,34.13%,2.91%,1.55,0.3,17.41%,3.91%,-4.57%,0.43,2/18/2025 8:30,5934.51,107.77,80.46,2.54%
64,CEG,Constellation Energy Corporation,"NDX, S&P 500",Utilities,Utilities - Renewable,USA,63501.61,17.05,42.06,9.99,0.77%,12.79%,-18.01%,1.93,0.68,15.90%,-33.59%,-9.40%,0.99,2/18/2025 8:30,4801.72,317.88,202.68,-0.89%
65,ANET,Arista Networks Inc,S&P 500,Technology,Computer Hardware,USA,90788.21,32.34,7.92,6.58,,14.54%,1.45%,1.87,0.01,40.73%,-37.04%,-34.87%,1.39,2/18/2025 16:30,11967.23,114.3,71.99,-0.91%
66,DVN,Devon Energy Corp,S&P 500,Energy,Oil & Gas E&P,USA,17594.39,5.93,22.28,1.3,3.66%,15.49%,4.66%,1.64,0.64,18.57%,-24.67%,-17.17%,1.13,2/18/2025 16:30,10023.57,47.72,27.11,-2.31%
67,AU,AngloGold Ashanti Plc,-,Basic Materials,Gold,United Kingdom,21571.48,18.39,13.17,2.87,4.02%,-14.83%,-6.94%,1.93,0.32,17.33%,64.90%,85.62%,0.48,2/19/2025 8:30,2724.92,37.58,42.84,10.27%
68,TRMB,Trimble Inc,S&P 500,Technology,Scientific & Technical Instruments,USA,13998.72,9.34,23.9,3.01,,0.62%,4.14%,2.97,0.26,40.84%,-18.90%,-19.40%,1.68,2/19/2025 8:30,1670.75,88.38,56.95,-1.87%
69,BMRN,Biomarin Pharmaceutical Inc,-,Healthcare,Biotechnology,USA,10630.85,25.21,29.66,5.93,,19.85%,4.87%,2.71,0.11,15.03%,-17.72%,-15.65%,0.35,2/19/2025 16:30,1726.11,97.73,55.44,-1.56%
70,CWAN,Clearwater Analytics Holdings Inc,RUT,Technology,Software - Application,USA,5800.73,13.69,4.29,0.99,,14.44%,5.09%,3.45,0.07,93.98%,-16.59%,-18.08%,0.82,2/19/2025 16:30,2628.14,35.78,22.54,-2.23%
71,LOPE,Grand Canyon Education Inc,-,Consumer Defensive,Education & Training Services,USA,4900.32,22.05,27.16,11.3,,0.45%,1.02%,1.8,0.14,21.90%,6.03%,4.15%,0.79,2/19/2025 16:30,201.71,199.33,170.6,0.17%
72,NDSN,Nordson Corp,S&P 500,Industrials,Specialty Industrial Machinery,USA,10357.53,23.17,50.55,2.29,1.73%,-1.32%,-3.78%,3.19,0.8,16.93%,-9.06%,-13.02%,0.92,2/19/2025 16:30,377.79,242.29,181.99,0.53%
73,RIO,Rio Tinto plc ADR,-,Basic Materials,Other Industrial Metals & Mining,United Kingdom,70679.59,8.01,34.02,7.11,6.67%,-1.66%,-1.81%,2.18,0.25,21.53%,-4.19%,-4.14%,0.74,2/19/2025 16:30,3425.93,82.33,56.38,2.74%
74,ATHM,Autohome Inc ADR,-,Communication Services,Internet Content & Information,China,3089.52,13.8,29.18,26.47,6.65%,-27.91%,-1.49%,3.06,0,23.00%,0.59%,-1.70%,0.05,2/20/2025 8:30,531.44,31.61,25.51,0.39%
75,GFI,Gold Fields Ltd ADR,-,Basic Materials,Gold,South Africa,22106.99,18.18,5.81,0.96,3.74%,0.00%,0.00%,1.42,0.57,23.89%,67.69%,87.12%,0.55,2/20/2025 8:30,3714.58,23.02,24.7,5.56%
76,IDA,"Idacorp, Inc",-,Utilities,Utilities - Regulated Electric,USA,6231.53,21.02,61.73,6.83,3.05%,11.79%,-15.59%,4.33,0.92,15.77%,8.30%,5.56%,0.57,2/20/2025 8:30,331.9,124.75,115.36,0.06%
77,LAUR,Laureate Education Inc,RUT,Consumer Defensive,Education & Training Services,USA,2846.06,9.72,6.36,0.65,5.32%,21.86%,2.89%,3.32,0.45,18.92%,4.63%,3.20%,0.62,2/20/2025 8:30,833.81,23.62,18.88,-0.71%
78,NICE,NICE Ltd ADR,-,Technology,Software - Application,Israel,9357.06,22.02,56.75,25.79,,2.37%,0.94%,2.29,0.16,16.18%,-7.94%,-12.37%,1.01,2/20/2025 8:30,682.66,207.93,148.83,-0.13%
79,NTES,NetEase Inc ADR,-,Communication Services,Electronic Gaming & Multimedia,China,60200.67,15.1,30.25,30.96,2.42%,19.81%,-1.71%,1.85,0.09,28.20%,6.16%,8.42%,0.69,2/20/2025 8:30,1545.14,118.5,96.72,2.57%
80,CPRT,"Copart, Inc","NDX, S&P 500",Industrials,Specialty Business Services,USA,57076.77,39.68,8.59,3.93,,7.61%,2.83%,3.64,0.01,32.27%,6.18%,2.94%,1.16,2/20/2025 16:30,4730.46,63.5,59.08,0.72%
81,OLED,Universal Display Corp,-,Technology,Electronic Components,USA,5196.91,23.55,34.05,10.38,1.65%,-9.40%,8.15%,1.79,0.01,34.21%,-26.06%,-25.12%,1.52,2/20/2025 16:30,818.54,188.67,109.48,1.27%
82,BVN,Compania de Minas Buenaventura S.A. ADR,-,Basic Materials,Other Precious Metals & Mining,Peru,3762.64,9.35,13.36,1.89,1.58%,-52.80%,0.79%,4.07,0.18,34.88%,16.77%,28.73%,0.46,2/21/2025 8:30,1096.94,15.68,14.83,5.93%
83,KSPI,Kaspi.kz JSC ADR,-,Technology,Software - Infrastructure,Kazakhstan,15633.69,7.13,15.22,,3.48%,-0.98%,-0.81%,1.35,0.09,41.00%,-10.21%,-13.13%,,2/24/2025 8:30,341.43,124.37,82.27,-1.33%
84,ASR,Grupo Aeroportuario Del Sureste S.A. ADR,-,Industrials,Airports & Air Services,Mexico,7537.17,10.99,94.11,38.42,6.75%,5.39%,6.41%,2.08,0.25,43.43%,5.27%,5.62%,0.77,2/24/2025 16:30,52.63,303.63,272.1,2.39%
85,BSM,Black Stone Minerals L.P,-,Energy,Oil & Gas E&P,USA,2888.37,11.92,3.93,0.01,10.96%,9.94%,12.12%,4.57,0.03,63.50%,-8.86%,-6.30%,0.35,2/24/2025 16:30,445.31,17,13.68,-0.07%
86,CTRA,Coterra Energy Inc,S&P 500,Energy,Oil & Gas E&P,USA,18747.1,16.34,17.85,2.98,3.60%,13.19%,-1.02%,3.16,0.29,20.51%,-11.65%,-3.94%,0.37,2/24/2025 16:30,7073.97,34.71,24.53,-0.67%
87,FANG,Diamondback Energy Inc,"NDX, S&P 500",Energy,Oil & Gas E&P,USA,35536.1,7.78,129.68,0.57,3.30%,8.92%,4.45%,1.88,0.35,29.97%,-29.75%,-25.06%,1.12,2/24/2025 16:30,2746.45,201.42,122.78,-0.31%
88,PSA,Public Storage,S&P 500,Real Estate,REIT - Industrial,USA,48132.8,25.79,30.57,2.55,4.51%,24.97%,-0.45%,4.09,0.96,39.88%,-5.05%,-8.37%,0.94,2/24/2025 16:30,789.91,328.17,274.39,-1.32%
89,TCOM,Trip.com Group Ltd ADR,-,Consumer Cyclical,Travel Services,China,34814.85,15.4,30.63,16.74,0.27%,12.08%,3.26%,3.47,0.28,32.04%,-15.33%,-22.12%,0.15,2/24/2025 16:30,4294.4,74,53.47,-1.33%
90,VNOM,Viper Energy Inc,-,Energy,Oil & Gas Midstream,USA,7981,9.92,16.38,0.12,7.64%,343.98%,2.86%,3.07,0.64,42.02%,-26.05%,-25.18%,1.1,2/24/2025 16:30,1913.98,57.62,36.42,-0.23%
91,WDS,Woodside Energy Group Ltd ADR,-,Energy,Oil & Gas E&P,Australia,23003.96,6.5,18.67,2.07,6.52%,11.27%,2.75%,1.84,0.33,25.56%,-22.76%,-22.21%,0.72,2/24/2025 16:30,984.43,16.59,12.14,0.29%
92,ZM,Zoom Communications Inc,-,Technology,Software - Application,USA,21335.85,21.83,29.22,25.57,,8.10%,0.80%,2.33,0.01,21.65%,-12.03%,-14.35%,0.8,2/24/2025 16:30,2701.91,91.18,69.9,0.42%
